CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
CTP201,J,Introduction to Lifelong Learning,生涯学習概論,"2/SA,3/SA",H-153,Face to Face,"WATANABE, Yuko",2,
CTP202,J,Museum Education,博物館教育論,"5/TH,6/TH",H-274,Face to Face,"WATANABE, Yuko",2,
SLR101,E,Introduction to Service-Learning,サービス・ラーニング概論,"2/TH,3/TH,(5/SA,6/SA)",H-353,Face to Face,"KATO, Etsuko/KURONUMA, Atsuko",3,
SLR201,J,Preparation for Service-Learning Field Study,サービス・ラーニングの実習準備,5/M,H-374,Face to Face,"KURONUMA, Atsuko",1,
STH391,,Senior Thesis,卒業研究,,,,STAFF,3/(9),
ANT102,J,Critical Issues in Anthropology,現代人類学の諸問題,"3/M,3/W,3/F",H-151,Face to Face,"KATO, Etsuko",3,
ANT205,E,Environment and Human Life,環境と人間生活,"*5/M,*5/TH",T-270,Face to Face,"SAIT, Callan",3,
ANT206,J,Medical Anthropology,医療人類学,"5/TH,6/TH",H-323,Face to Face,"KURATA, Makoto",2,
ANT208,J,Readings in Anthropological Texts,人類学原書講読,"5/F,6/F",H-358,Face to Face,"TAKASAKI, Megumi",2,
ANT212,J,Demographic anthropology,人口人類学,"*4/M,*4/TH",T-171,Face to Face,"MORIKI, Yoshie",3,
ANT311,J,Field Training in Anthropology I,人類学調査実習 I,"2/W,2/F",H-352,Face to Face,"MORIKI, Yoshie",2,
ARC205,E,Japanese Archaeology,日本考古学,"5/F,6/F,7/F",H-173,Face to Face,"HAYASHI, Toru",3,
ARC206,J,Medieval Art of the West,西洋中世美術,"1/TU,2/TU,1/TH",H-259,Face to Face,"ITO, Aki",3,
ARC208,J,Modern Art II,近代美術 II,"5/W,6/W,7/W",H-357,Face to Face,"AKATSUKA, Wakagi",3,
ARC209,J,Introduction to Museology,博物館概論,"5/TU,6/TU",H-260,Face to Face,"TERADA, Ayumi",2,
AST102,J,History of East Asia in Asian Studies,アジア研究における東アジアの歴史,"3/TU,2/TH,3/TH",H-276,Face to Face,"KIKUCHI, Hideaki",3,
BIO102,J,Introduction to Biology,生物学入門,"3/TU,3/TH",H-305,Face to Face,"KAMITO, Takehiko",2,
BIO102,E,Introduction to Biology,生物学入門,"3/TU,3/TH",H-101,Face to Face,"WANG, Mu-Yun",2,
BIO103,J,Laboratory in Foundation of Biology,基礎生物学実習,"4/M,(5/M,6/M,7/M)",T-125,Face to Face,"KOSE, Hiroyuki/GOURAUD, Sabine Sandra Stephanie/HAYAMA, Ryosuke/AU YEUNG, Wan Kin/MIZOGUCHI, Tsuyoshi",2,
BIO212,E,Basic Concepts in Cell Biology,細胞生物学概論,"2/M,2/W",H-306,Face to Face,"GOURAUD, Sabine Sandra Stephanie",2,
